d,PP
0.010189224,3.53221957
0.013467834,5.827441798
0.015760703,7.324758369
0.020177591,9.976256463
0.025832297,12.93969551
0.03270241,16.43031477
0.040028151,20.3463435
0.047371849,24.45477295
0.054817746,28.67451704
0.069396554,36.90567324
0.076776939,41.8137299
0.080756453,45.80267483
0.095037182,54.09510515
0.101661257,58.55586076
0.109975105,62.61629216
0.124434626,67.9348854
0.131621302,70.37972261
0.145619343,74.17994326
0.166626056,78.74363939
0.18853404,82.43234115
0.215731529,86.26401585
0.252459341,89.59528527
0.304877118,93.68717071
0.401605069,97.18377088
0.502912624,100
